"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"HIVC","HIVC","","","",0,*,"","","","null {[]} {[]}
","HIV.C PrEP visit Logical Model","Logical Model for HIV.C PrEP visit data elements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HIVC.analCancerScreeningForMenWhoHaveSexWithMen","HIVC.analCancerScreeningForMenWhoHaveSexWithMen","","","",1,1,"","","","string {[]} {[]}
","Anal cancer screening (for men who have sex with men)","Offer anal cancer screening (for men who have sex with men) services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE154
",,,,"HIVC.analCancerScreeningForMenWhoHaveSexWithMen",1,1,"",""
"HIVC.stiTestingAndTreatment","HIVC.stiTestingAndTreatment","","","",1,1,"","","","string {[]} {[]}
","STI testing and treatment","Offer STI testing and treatment services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE155
",,,,"HIVC.stiTestingAndTreatment",1,1,"",""
"HIVC.hivTestingForPartnersAndBiologicalChildren","HIVC.hivTestingForPartnersAndBiologicalChildren","","","",1,1,"","","","string {[]} {[]}
","HIV testing for partners and biological children","Offer testing for all partners and biological children of positive cases (includes partner services and index case testing), as well as partners and social contacts of people from key populations, where appropriate","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE156
",,,,"HIVC.hivTestingForPartnersAndBiologicalChildren",1,1,"",""
"HIVC.offerOtherClinicalServices","HIVC.offerOtherClinicalServices","","","",1,1,"","","","string {[]} {[]}
","Offer other clinical services","Other clinical services offered or referrals given to the client","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE157
",,,,"HIVC.offerOtherClinicalServices",1,1,"",""
"HIVC.assessmentAndProvisionOfVaccinations","HIVC.assessmentAndProvisionOfVaccinations","","","",1,1,"","","","string {[]} {[]}
","Assessment and provision of vaccinations","Assessment and provision of vaccinations, such as for people from key populations, pregnant women and infants; and, where appropriate, tetanus vaccination for adolescent boys and men receiving VMMC","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE158
",,,,"HIVC.assessmentAndProvisionOfVaccinations",1,1,"",""
"HIVC.hepatitisBVirusHbvAndHepatitisCVirusHcvTT","HIVC.hepatitisBVirusHbvAndHepatitisCVirusHcvTT","","","",1,1,"","","","string {[]} {[]}
","Hepatitis B virus (HBV) and hepatitis C virus (HCV) testing and treatment","Offer or refer for HBV testing and vaccination and HCV testing and treatment","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE159
",,,,"HIVC.hepatitisBVirusHbvAndHepatitisCVirusHcvTT",1,1,"",""
"HIVC.coTrimoxazoleChemoprophylaxis","HIVC.coTrimoxazoleChemoprophylaxis","","","",1,1,"","","","string {[]} {[]}
","Co-trimoxazole chemoprophylaxis to prevent pneumocystis carinii pneumonia","Offer or refer for co-trimoxazole chemoprophylaxis to prevent pneumocystis carinii pneumonia","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE160
",,,,"HIVC.coTrimoxazoleChemoprophylaxis",1,1,"",""
"HIVC.intensifiedTbCaseFindingAndLinkageToTbTreatment","HIVC.intensifiedTbCaseFindingAndLinkageToTbTreatment","","","",1,1,"","","","string {[]} {[]}
","Intensified TB case finding and linkage to TB treatment","Offer or refer for TB case finding and linkage to TB treatment","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE161
",,,,"HIVC.intensifiedTbCaseFindingAndLinkageToTbTreatment",1,1,"",""
"HIVC.provisionOfIsoniazidPreventiveTherapyIfPersonDoesNotHaveTb","HIVC.provisionOfIsoniazidPreventiveTherapyIfPersonDoesNotHaveTb","","","",1,1,"","","","string {[]} {[]}
","Provision of isoniazid preventive therapy if person does not have TB","Offer or refer for provision of isoniazid preventive therapy if person does not have TB","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE162
",,,,"HIVC.provisionOfIsoniazidPreventiveTherapyIfPersonDoesNotHaveTb",1,1,"",""
"HIVC.malariaPreventionDependingOnEpidemiology","HIVC.malariaPreventionDependingOnEpidemiology","","","",1,1,"","","","string {[]} {[]}
","Malaria prevention (such as bed nets and prophylaxis), depending on epidemiology","Offer or refer for malaria prevention (such as bed nets and prophylaxis), depending on epidemiology","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE163
",,,,"HIVC.malariaPreventionDependingOnEpidemiology",1,1,"",""
"HIVC.otherSupportServices","HIVC.otherSupportServices","","","",1,1,"","","","string {[]} {[]}
","Other support services","Offer or refer for other support services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE164
",,,,"HIVC.otherSupportServices",1,1,"",""
"HIVC.mentalHealthServices","HIVC.mentalHealthServices","","","",1,1,"","","","string {[]} {[]}
","Mental health services","Offer or refer for mental health services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE165
",,,,"HIVC.mentalHealthServices",1,1,"",""
"HIVC.psychosocialCounsellingSupportAndTreatmentAdherenceCounselling","HIVC.psychosocialCounsellingSupportAndTreatmentAdherenceCounselling","","","",1,1,"","","","string {[]} {[]}
","Psychosocial counselling, support and treatment adherence counselling","Offer or refer for psychosocial counselling, support and treatment adherence counselling","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE166
",,,,"HIVC.psychosocialCounsellingSupportAndTreatmentAdherenceCounselling",1,1,"",""
"HIVC.supportForDisclosureAndPartnerServices","HIVC.supportForDisclosureAndPartnerServices","","","",1,1,"","","","string {[]} {[]}
","Support for disclosure and partner services","Offer or refer for support for disclosure and partner services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE167
",,,,"HIVC.supportForDisclosureAndPartnerServices",1,1,"",""
"HIVC.legalAndSocialServices","HIVC.legalAndSocialServices","","","",1,1,"","","","string {[]} {[]}
","Legal and social services","Offer or refer for legal and social services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE168
",,,,"HIVC.legalAndSocialServices",1,1,"",""
"HIVC.servicesForRespondingToViolenceAgainstWomen","HIVC.servicesForRespondingToViolenceAgainstWomen","","","",1,1,"","","","string {[]} {[]}
","Services for responding to violence against women","Offer or refer for services for responding to violence against women, including first-line support and psychosocial support, post-rape care and other support services including shelters, legal services and women and child protection services","","","","","","","","","",,,,,"http://worldhealthorganization.github.io/smart-hiv/CodeSystem/HIV.C#DE169
",,,,"HIVC.servicesForRespondingToViolenceAgainstWomen",1,1,"",""
